Rank,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,ATT,YDS,Y/A,TD,SACKS,ATT.1,YDS.1,TD.1,FL,20+,TGT,REC,Y/R,ROST_0.1%,ROST_0.2%,ROST_0.4%,ROST_0.6%,ROST_0.7%,ROST_0.8%,ROST_0.9%,ROST_1.0%,ROST_1.1%,ROST_1.2%,ROST_1.3%,ROST_1.4%,ROST_1.5%,ROST_1.6%,ROST_1.7%,ROST_1.8%,ROST_1.9%,ROST_10.0%,ROST_10.1%,ROST_10.3%,ROST_10.6%,ROST_10.9%,ROST_11.2%,ROST_11.5%,ROST_12.0%,ROST_12.3%,ROST_12.4%,ROST_12.7%,ROST_12.9%,ROST_13.9%,ROST_14.0%,ROST_14.5%,ROST_15.0%,ROST_15.5%,ROST_15.6%,ROST_16.1%,ROST_16.5%,ROST_17.9%,ROST_18.0%,ROST_18.2%,ROST_18.4%,ROST_19.0%,ROST_19.9%,ROST_2.0%,ROST_2.1%,ROST_2.2%,ROST_2.3%,ROST_2.4%,ROST_2.5%,ROST_2.6%,ROST_2.7%,ROST_2.8%,ROST_2.9%,ROST_20.1%,ROST_20.3%,ROST_20.4%,ROST_20.9%,ROST_21.1%,ROST_22.8%,ROST_23.2%,ROST_24.3%,ROST_24.4%,ROST_24.8%,ROST_25.1%,ROST_25.6%,ROST_25.9%,ROST_26.5%,ROST_26.7%,ROST_27.3%,ROST_28.5%,ROST_28.6%,ROST_29.3%,ROST_29.5%,ROST_29.7%,ROST_3.0%,ROST_3.1%,ROST_3.2%,ROST_3.3%,ROST_3.5%,ROST_3.6%,ROST_3.7%,ROST_3.8%,ROST_3.9%,ROST_30.0%,ROST_30.6%,ROST_30.7%,ROST_31.2%,ROST_31.9%,ROST_32.6%,ROST_32.9%,ROST_33.2%,ROST_33.9%,ROST_34.9%,ROST_35.7%,ROST_37.1%,ROST_37.3%,ROST_37.6%,ROST_37.7%,ROST_37.8%,ROST_38.1%,ROST_39.2%,ROST_39.6%,ROST_39.8%,ROST_39.9%,ROST_4.0%,ROST_4.1%,ROST_4.2%,ROST_4.3%,ROST_4.4%,ROST_4.5%,ROST_4.6%,ROST_4.7%,ROST_4.8%,ROST_4.9%,ROST_40.4%,ROST_40.8%,ROST_41.0%,ROST_41.3%,ROST_41.5%,ROST_41.8%,ROST_42.7%,ROST_43.3%,ROST_44.2%,ROST_44.7%,ROST_45.1%,ROST_46.0%,ROST_46.5%,ROST_47.8%,ROST_47.9%,ROST_48.0%,ROST_48.2%,ROST_49.1%,ROST_5.0%,ROST_5.1%,ROST_5.2%,ROST_5.4%,ROST_5.5%,ROST_5.6%,ROST_5.7%,ROST_5.8%,ROST_5.9%,ROST_51.2%,ROST_51.5%,ROST_51.6%,ROST_51.8%,ROST_51.9%,ROST_53.1%,ROST_53.3%,ROST_53.8%,ROST_54.7%,ROST_55.2%,ROST_55.5%,ROST_55.7%,ROST_55.9%,ROST_56.9%,ROST_57.6%,ROST_57.9%,ROST_58.5%,ROST_59.1%,ROST_59.5%,ROST_6.0%,ROST_6.1%,ROST_6.5%,ROST_60.2%,ROST_60.9%,ROST_61.6%,ROST_62.0%,ROST_62.2%,ROST_64.0%,ROST_64.4%,ROST_64.9%,ROST_65.1%,ROST_65.4%,ROST_65.5%,ROST_66.3%,ROST_66.8%,ROST_67.3%,ROST_67.5%,ROST_68.1%,ROST_69.0%,ROST_69.2%,ROST_69.3%,ROST_69.7%,ROST_7.0%,ROST_7.1%,ROST_7.4%,ROST_7.5%,ROST_71.4%,ROST_72.3%,ROST_72.9%,ROST_73.2%,ROST_73.4%,ROST_73.9%,ROST_74.6%,ROST_75.3%,ROST_75.4%,ROST_75.9%,ROST_76.7%,ROST_76.8%,ROST_76.9%,ROST_77.3%,ROST_77.5%,ROST_78.1%,ROST_78.2%,ROST_78.6%,ROST_78.9%,ROST_79.4%,ROST_79.5%,ROST_8.2%,ROST_8.3%,ROST_8.6%,ROST_80.7%,ROST_81.0%,ROST_81.6%,ROST_81.7%,ROST_82.0%,ROST_82.3%,ROST_82.7%,ROST_83.7%,ROST_83.8%,ROST_84.3%,ROST_84.8%,ROST_85.5%,ROST_87.1%,ROST_87.6%,ROST_87.7%,ROST_87.8%,ROST_88.0%,ROST_88.2%,ROST_88.5%,ROST_88.8%,ROST_88.9%,ROST_89.2%,ROST_9.4%,ROST_9.5%,ROST_9.8%,ROST_90.2%,ROST_90.3%,ROST_91.3%,ROST_91.4%,ROST_91.7%,ROST_91.8%,ROST_91.9%,ROST_92.3%,ROST_92.6%,ROST_92.9%,ROST_93.0%,ROST_93.1%,ROST_93.2%,ROST_93.7%,ROST_93.8%,ROST_93.9%,ROST_94.1%,ROST_94.4%,ROST_95.3%,ROST_95.6%,ROST_95.8%,ROST_96.0%,ROST_96.2%,ROST_96.5%,ROST_96.6%,ROST_97.0%,ROST_97.5%,ROST_97.7%,ROST_97.8%,ROST_97.9%,ROST_98.1%,ROST_98.2%,ROST_98.3%,ROST_98.5%,ROST_99.0%,ROST_99.1%,ROST_99.2%,ROST_99.4%,ROST_99.6%,ROST_99.7%,ROST_99.8%,ROST_99.9%,Position_K,Position_QB,Position_RB,Position_TE,Position_WR
44.0,26.0,1.0,5.0,7.0,1.0,0.0,0.0,4.0,9.5,13.0,64.0,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,48.0,75.0,449.0,6.0,2.0,4.0,5.0,9.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
45.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,2.0,9.5,13.0,73.0,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,27.0,37.0,254.0,6.9,1.0,6.0,11.0,92.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
46.0,26.0,1.0,5.0,7.0,1.0,0.0,0.0,4.0,9.5,13.0,77.6,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,38.0,49.0,310.0,6.3,2.0,2.0,7.0,6.0,0.0,1.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
47.0,26.0,2.0,5.0,7.0,1.0,0.0,0.0,2.0,9.5,13.0,41.7,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,15.0,36.0,256.0,7.1,1.0,3.0,4.0,15.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
48.0,26.0,1.0,5.0,7.0,1.0,0.0,0.0,4.0,9.5,13.0,67.6,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,25.0,37.0,293.0,7.9,1.0,8.0,5.0,-2.0,0.0,2.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
49.0,26.0,1.0,5.0,7.0,1.0,0.0,0.0,2.0,9.5,13.0,66.7,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,6.0,9.0,99.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
50.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,2.0,9.5,13.0,100.0,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,3.0,3.0,13.0,4.3,1.0,0.0,3.0,19.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
51.0,26.0,4.0,5.0,7.0,1.0,0.0,0.0,4.0,9.5,13.0,65.4,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,34.0,52.0,303.0,5.8,0.0,1.0,4.0,-4.0,0.0,1.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
52.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,2.0,9.5,13.0,50.0,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,6.0,12.0,81.0,6.8,0.0,2.0,4.0,12.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
53.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,4.0,9.5,13.0,53.3,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,8.0,15.0,62.0,4.1,0.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
54.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,3.0,9.5,13.0,75.0,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,3.0,4.0,47.0,11.8,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
55.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,3.0,9.5,13.0,50.0,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,3.0,6.0,54.0,9.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
56.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,1.0,9.5,13.0,62.5,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,5.0,8.0,53.0,6.6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
57.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,2.0,9.5,13.0,66.7,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,6.0,9.0,32.0,3.6,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
58.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,3.0,9.5,13.0,62.5,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,5.0,8.0,42.0,5.3,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
59.0,26.0,0.0,5.0,7.0,1.0,0.0,0.0,2.0,9.5,13.0,50.0,10.0,0.0,2.0,3.0,2.5,1.0,13.0,13.5,1.0,2.0,9.0,4.5,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,2.0,1.5,4.699999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
